sample,tech,runid,file
LAMDEL,illumina,354040_S1_L004,/g/data/xl04/bpadownload2025/LAMDEL/illumina/354040_S1_L004/fastx/LAMDEL.354040_S1_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/LAMDEL/illumina/354040_S1_L004/fastx/LAMDEL.354040_S1_L004.R2.trimmed.fastq.gz
LAMDEL,illumina,354041_S2_L004,/g/data/xl04/bpadownload2025/LAMDEL/illumina/354041_S2_L004/fastx/LAMDEL.354041_S2_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/LAMDEL/illumina/354041_S2_L004/fastx/LAMDEL.354041_S2_L004.R2.trimmed.fastq.gz
LAMDEL,illumina,354042_S3_L004,/g/data/xl04/bpadownload2025/LAMDEL/illumina/354042_S3_L004/fastx/LAMDEL.354042_S3_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/LAMDEL/illumina/354042_S3_L004/fastx/LAMDEL.354042_S3_L004.R2.trimmed.fastq.gz
LAMDEL,hic,353995_S2_L001,/g/data/xl04/bpadownload2025/LAMDEL/hic/353995_S2_L001/fastx/353995_AusARG_BRF_HMGMJDRXY_S2_L001_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/LAMDEL/hic/353995_S2_L001/fastx/353995_AusARG_BRF_HMGMJDRXY_S2_L001_R2_001.fastq.gz
LAMDEL,hic,353995_S2_L002,/g/data/xl04/bpadownload2025/LAMDEL/hic/353995_S2_L002/fastx/353995_AusARG_BRF_HMGMJDRXY_S2_L002_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/LAMDEL/hic/353995_S2_L002/fastx/353995_AusARG_BRF_HMGMJDRXY_S2_L002_R2_001.fastq.gz
LAMDEL,ont,PAG55217,/g/data/xl04/bpadownload2025/LAMDEL/ont/PAG55217/fastx/LAMDEL.ONT.PAG55217_pass.fastq.gz
LAMDEL,pb,DA064169,/g/data/xl04/bpadownload2025/LAMDEL/pb/DA064169/fastx/LAMDEL.PB.DA064169.deepconsensus.trimmed.fastq.gz
LAMDEL,pb,DA095606,/g/data/xl04/bpadownload2025/LAMDEL/pb/DA095606/fastx/LAMDEL.PB.DA095606.deepconsensus.trimmed.fastq.gz
PSEENT,illumina,350849_S4_L004,/g/data/xl04/bpadownload2025/PSEENT/illumina/350849_S4_L004/fastx/PSEENT.350849_S4_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/PSEENT/illumina/350849_S4_L004/fastx/PSEENT.350849_S4_L004.R2.trimmed.fastq.gz
PSEENT,illumina,350850_S5_L004,/g/data/xl04/bpadownload2025/PSEENT/illumina/350850_S5_L004/fastx/PSEENT.350850_S5_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/PSEENT/illumina/350850_S5_L004/fastx/PSEENT.350850_S5_L004.R2.trimmed.fastq.gz
PSEENT,illumina,350851_S6_L004,/g/data/xl04/bpadownload2025/PSEENT/illumina/350851_S6_L004/fastx/PSEENT.350851_S6_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/PSEENT/illumina/350851_S6_L004/fastx/PSEENT.350851_S6_L004.R2.trimmed.fastq.gz
PSEENT,hic,353996_S3_L001,/g/data/xl04/bpadownload2025/PSEENT/hic/353996_S3_L001/fastx/353996_AusARG_BRF_HMGMJDRXY_S3_L001_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/PSEENT/hic/353996_S3_L001/fastx/353996_AusARG_BRF_HMGMJDRXY_S3_L001_R2_001.fastq.gz
PSEENT,hic,353996_S3_L002,/g/data/xl04/bpadownload2025/PSEENT/hic/353996_S3_L002/fastx/353996_AusARG_BRF_HMGMJDRXY_S3_L002_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/PSEENT/hic/353996_S3_L002/fastx/353996_AusARG_BRF_HMGMJDRXY_S3_L002_R2_001.fastq.gz
PSEENT,pb,DA087259,/g/data/xl04/bpadownload2025/PSEENT/pb/DA087259/fastx/PSEENT.PB.DA087259.deepconsensus.trimmed.fastq.gz
PSEENT,pb,DA087270,/g/data/xl04/bpadownload2025/PSEENT/pb/DA087270/fastx/PSEENT.PB.DA087270.deepconsensus.trimmed.fastq.gz
PSEENT,pb,DA095606,/g/data/xl04/bpadownload2025/PSEENT/pb/DA095606/fastx/PSEENT.PB.DA095606.deepconsensus.trimmed.fastq.gz
SAIEQU,illumina,350852_S12_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350852_S12_L004/fastx/SAIEQU.350852_S12_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350852_S12_L004/fastx/SAIEQU.350852_S12_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350853_S13_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350853_S13_L004/fastx/SAIEQU.350853_S13_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350853_S13_L004/fastx/SAIEQU.350853_S13_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350854_S14_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350854_S14_L004/fastx/SAIEQU.350854_S14_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350854_S14_L004/fastx/SAIEQU.350854_S14_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350855_S15_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350855_S15_L004/fastx/SAIEQU.350855_S15_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350855_S15_L004/fastx/SAIEQU.350855_S15_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350856_S16_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350856_S16_L004/fastx/SAIEQU.350856_S16_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350856_S16_L004/fastx/SAIEQU.350856_S16_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350857_S9_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350857_S9_L004/fastx/SAIEQU.350857_S9_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350857_S9_L004/fastx/SAIEQU.350857_S9_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350858_S8_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350858_S8_L004/fastx/SAIEQU.350858_S8_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350858_S8_L004/fastx/SAIEQU.350858_S8_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350859_S7_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350859_S7_L004/fastx/SAIEQU.350859_S7_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350859_S7_L004/fastx/SAIEQU.350859_S7_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,350860_S10_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/350860_S10_L004/fastx/SAIEQU.350860_S10_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/350860_S10_L004/fastx/SAIEQU.350860_S10_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,354037_S11_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/354037_S11_L004/fastx/SAIEQU.354037_S11_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/354037_S11_L004/fastx/SAIEQU.354037_S11_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,354038_S18_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/354038_S18_L004/fastx/SAIEQU.354038_S18_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/354038_S18_L004/fastx/SAIEQU.354038_S18_L004.R2.trimmed.fastq.gz
SAIEQU,illumina,354039_S17_L004,/g/data/xl04/bpadownload2025/SAIEQU/illumina/354039_S17_L004/fastx/SAIEQU.354039_S17_L004.R1.trimmed.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/illumina/354039_S17_L004/fastx/SAIEQU.354039_S17_L004.R2.trimmed.fastq.gz
SAIEQU,hic,353997_S4_L001,/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L001/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L001_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L001/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L001_R2_001.fastq.gz
SAIEQU,hic,353997_S4_L002,/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L002/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L002_R1_001.fastq.gz;/g/data/xl04/bpadownload2025/SAIEQU/hic/353997_S4_L002/fastx/353997_AusARG_BRF_HMGMJDRXY_S4_L002_R2_001.fastq.gz
SAIEQU,pb,DA080843,/g/data/xl04/bpadownload2025/SAIEQU/pb/DA080843/fastx/SAIEQU.PB.DA080843.deepconsensus.trimmed.fastq.gz
SAIEQU,pb,DA095606,/g/data/xl04/bpadownload2025/SAIEQU/pb/DA095606/fastx/SAIEQU.PB.DA095606.deepconsensus.trimmed.fastq.gz
